iter	qwk	RMSE
0	0	1.250050244
1	0	1.244967626
2	0	1.23625312
3	0.01240987497	1.230445635
4	0.03044631493	1.222269126
5	0.07112732879	1.217888236
6	0.1286870394	1.210462487
7	0.21081543	1.203063842
8	0.2153578437	1.199178144
9	0.2527277429	1.192413239
10	0.2628748339	1.185183862
11	0.2691392813	1.180086329
12	0.2808434971	1.172767573
13	0.2833701906	1.167558811
14	0.2878517907	1.163099098
15	0.2886976811	1.159890469
16	0.2921243305	1.156772558
17	0.293543683	1.154033888
18	0.2962872813	1.151067985
19	0.2986627557	1.145312006
20	0.2999056549	1.140470212
21	0.3008273525	1.136071059
22	0.3037193328	1.134266534
23	0.3039099196	1.131007833
24	0.3188394568	1.126463835
25	0.3359048387	1.123516579
26	0.3584125057	1.119973627
27	0.3740741273	1.117429902
28	0.3937245509	1.113726272
29	0.4056485366	1.111305324
30	0.4194491447	1.107787923
31	0.4267277917	1.1056332
32	0.4330938344	1.103200122
33	0.4429479398	1.098442623
34	0.4492717001	1.096514913
35	0.45132354	1.094266797
36	0.4561354186	1.092556772
37	0.4599965681	1.089792099
38	0.4636199196	1.087383288
39	0.4680965875	1.085405159
40	0.4727745913	1.083230798
41	0.4764118705	1.081281621
42	0.4788520265	1.080189015
43	0.4824596099	1.078405611
44	0.486139396	1.075948079
45	0.4911013457	1.073299032
46	0.4936957171	1.071257761
47	0.497017136	1.068921625
48	0.5004055783	1.06727247
49	0.5028716845	1.065213261
50	0.5086490438	1.062276855
51	0.5114292572	1.060042136
52	0.5162418723	1.057948339
53	0.5228869042	1.055820388
54	0.5235183097	1.054770476
55	0.5275851273	1.05297633
56	0.5297161888	1.051708089
57	0.5309558061	1.050735207
58	0.53405757	1.049528997
59	0.536891314	1.047022251
60	0.5385149682	1.045744886
61	0.5411227287	1.044076236
62	0.5427227972	1.042590468
63	0.5435812633	1.041155623
64	0.5462956998	1.039868252
65	0.548465571	1.038351222
66	0.5505105132	1.037315275
67	0.5506485061	1.03598263
68	0.5519025037	1.03504966
69	0.5528002848	1.033697502
70	0.5557416652	1.031928448
71	0.5577269195	1.030582953
72	0.557377149	1.029679579
73	0.5593177411	1.027909026
74	0.5603420775	1.026824513
75	0.5606502639	1.026079386
76	0.5617694404	1.025306568
77	0.5631043093	1.024213575
78	0.5637594585	1.023325445
79	0.5653517119	1.022188158
80	0.5667744649	1.021207951
81	0.567798364	1.019899441
82	0.5685730072	1.019283927
83	0.5697076621	1.018750054
84	0.5710913043	1.017256287
85	0.5725363061	1.016520639
86	0.5738200922	1.015871236
87	0.5742006116	1.015306228
88	0.5776792638	1.013986512
89	0.5777920928	1.013261059
90	0.579382365	1.012350747
91	0.5815142723	1.011575235
92	0.5835103523	1.011016525
93	0.5836672582	1.01042808
94	0.5839900962	1.009997516
95	0.5850981883	1.009125413
96	0.5856860908	1.008485373
97	0.5866251957	1.00791031
98	0.5865983094	1.007347684
99	0.5872742146	1.006718999
100	0.5876222084	1.006283835
101	0.5881747975	1.005590637
102	0.5891453837	1.004894272
103	0.5898914598	1.004332692
104	0.5901057657	1.003913444
105	0.5903305976	1.003424011
106	0.591371687	1.002419193
