iter	Passed	Remaining
0	67	945349
1	377	2642026
2	665	3106680
3	953	3335802
4	1223	3425313
5	1528	3565767
6	1817	3633771
7	2103	3678488
8	2360	3668792
9	2644	3699208
10	2930	3726165
11	3057	3564332
12	3342	3596372
13	3568	3565376
14	3846	3586497
15	4056	3545643
16	4346	3575128
17	4644	3607721
18	4934	3630992
19	5222	3650223
20	5506	3665490
21	5797	3683533
22	6084	3697277
23	6369	3709330
24	6659	3722747
25	6949	3734973
26	7235	3744722
27	7408	3696661
28	7697	3708128
29	7997	3724375
30	8289	3735510
31	8565	3739003
32	8853	3747288
33	9139	3754035
34	9433	3764108
35	9720	3770591
36	10020	3781384
37	10294	3782407
38	10525	3768017
39	10816	3775090
40	11103	3780317
41	11388	3784782
42	11496	3731395
43	11564	3667934
44	11626	3605477
45	11662	3537837
46	11727	3481619
47	11761	3418622
48	11810	3362543
49	11830	3300658
50	11881	3249749
51	11935	3201533
52	11989	3155009
53	12045	3110914
54	12094	3066514
55	12123	3018779
56	12177	2978730
57	12226	2938905
58	12280	2901737
59	12330	2864894
60	12380	2829065
61	12430	2794511
62	12458	2756205
63	12509	2723897
64	12564	2693662
65	12620	2664405
66	12672	2635305
67	12823	2627300
68	13174	2659920
69	13400	2666688
70	13627	2673410
71	13853	2679910
72	14073	2684894
73	14297	2690596
74	14528	2697427
75	14808	2713114
76	15155	2740299
77	15378	2744785
78	15657	2759023
79	15998	2783694
80	16232	2789385
81	16455	2792983
82	16679	2796795
83	16903	2800338
84	17128	2804017
85	17305	2799906
86	17606	2815667
87	17959	2839242
88	18182	2841915
89	18467	2854259
90	18812	2875353
91	19042	2878789
92	19267	2881201
93	19548	2891898
94	19900	2912861
95	20125	2914872
96	20407	2925007
97	20751	2943795
98	20977	2945484
99	21200	2946894
100	21492	2957597
101	21836	2975375
102	22062	2976777
103	22291	2978525
104	22570	2986890
105	22920	3004335
106	23149	3005755
107	23376	3006857
108	23658	3014985
109	24000	3030669
110	24281	3038188
111	24627	3053832
112	24915	3061909
113	25261	3076979
114	25438	3071367
115	25677	3073333
116	25870	3069707
117	26099	3070449
118	26364	3075337
119	26725	3091232
120	27003	3097322
121	27177	3091519
122	27534	3106492
123	27760	3106465
124	27982	3106075
125	28256	3111336
126	28608	3125049
127	28834	3124935
128	29056	3124390
129	29282	3124181
130	29507	3123950
131	29786	3129357
132	29927	3120358
133	29990	3103363
134	30003	3081460
135	30061	3064491
136	30300	3066133
137	30590	3072743
138	30874	3078794
